                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3656,                 1.8188,                 1.5746,                0.39383,                0.60865,                0.47943,                0.24265,                 1.7842,                 7.0867,                 2.1042,             0.00054359,             0.00054359,             0.00054359
                      2,                 1.5421,                 1.5208,                 1.6844,                0.00543,                0.07072,                0.00155,                0.00038,                 3.9908,                    inf,                  52.05,              0.0010949,              0.0010949,              0.0010949
                      3,                 1.5523,                 1.4954,                 1.6712,                 0.2115,                0.25524,                0.19573,                0.10164,                 2.8167,                 6.1036,                 3.1103,              0.0016418,              0.0016418,              0.0016418
                      4,                 1.5261,                 1.4361,                 1.6683,                0.55386,                0.43417,                0.48622,                0.26479,                 1.8148,                 6.1647,                 2.3086,              0.0016472,              0.0016472,              0.0016472
                      5,                 1.4606,                 1.3514,                 1.6221,                0.60738,                0.48456,                0.48131,                0.25431,                 1.8279,                 2.2929,                 2.3304,              0.0016406,              0.0016406,              0.0016406
                      6,                 1.4474,                 1.3006,                 1.6155,                 0.3822,                0.40974,                0.33863,                0.16602,                 2.1233,                 4.4717,                 2.4303,               0.001634,               0.001634,               0.001634
                      7,                 1.4213,                 1.2492,                 1.5849,                0.79121,                0.56523,                0.66523,                0.41017,                 1.4041,                 1.5901,                 1.7666,              0.0016274,              0.0016274,              0.0016274
                      8,                 1.4146,                 1.2527,                 1.5898,                0.54334,                0.47388,                0.47577,                0.26693,                 1.6984,                 2.1752,                 1.9297,              0.0016208,              0.0016208,              0.0016208
                      9,                 1.4165,                 1.2307,                  1.579,                0.70361,                0.58304,                0.60909,                0.31967,                 1.6713,                 1.5152,                 1.9386,              0.0016142,              0.0016142,              0.0016142
                     10,                  1.288,                 1.1449,                  1.498,                0.77814,                0.65707,                0.74203,                 0.4689,                 1.3571,                 1.1522,                 1.6012,              0.0016076,              0.0016076,              0.0016076
                     11,                 1.2996,                  1.133,                 1.5017,                0.75285,                0.65919,                0.71876,                 0.4715,                 1.2968,                 1.2902,                 1.6219,               0.001601,               0.001601,               0.001601
                     12,                 1.2846,                 1.0792,                 1.4767,                0.78712,                0.65945,                0.69313,                0.43753,                 1.3612,                 1.3217,                 1.6281,              0.0015944,              0.0015944,              0.0015944
                     13,                 1.2654,                 1.0788,                  1.491,                0.86698,                0.61057,                0.72393,                0.49799,                 1.1687,                 1.1706,                 1.5105,              0.0015878,              0.0015878,              0.0015878
                     14,                 1.2823,                 1.0774,                 1.4944,                0.82447,                 0.6839,                0.71819,                0.45536,                 1.2969,                 1.0727,                 1.5883,              0.0015812,              0.0015812,              0.0015812
